Day,Polymer,Time,Batch,N,Al27,As75,Ba138,C13,Ca44,Co59,Cr50,Cu63,Fe57,Ga69,K39,Mg25,Mn55,Na23,Nb93,Ni60,Pb208,Pd106,Sb121,Si29,Sn118,Sr88,Ti47
230613,PS,Before,01,1,14005077.075623,298250.403561892,29842843.8715599,483438.457575489,2216082.63422088,904984.915634094,2185555.58095278,4420854.70397809,530510.37092942,5157819.29251202,5705881.12252128,739442.211289325,20841077.2483908,4129154.41819226,9150332.02343129,714939.552107785,6276417.83372166,615715.615884608,11108802.2202018,110864.72537622,2482402.08775264,10732620.3573109,2023920.29582717
230613,PS,Before,01,2,11290916.4555466,234797.502648536,6001497.30195106,464333.488694797,1922103.37666042,844470.096019462,1716544.40651952,3708297.2283844,431693.878317366,3874079.19575475,5089429.30672586,722788.167884533,21663125.3316098,3145595.52462013,7682136.52190982,661234.216162532,4557578.73617114,507918.697371353,8787952.22018144,96576.7298113074,1954622.29323844,8649865.54346824,1604871.69987925
230613,PS,Before,01,3,12503422.04611,215968.033741839,12764835.969177,463288.331788689,1837542.74277675,854380.63860211,1501484.8700349,3511090.39953894,401765.060727011,3973864.97386294,4944453.6908912,637185.433440709,20261642.8315376,3316302.45820084,7001623.47582765,652045.791764625,4261365.3392683,510021.270418551,8218815.99798806,92730.1346239446,1749813.05079446,8524480.84027641,1446143.99591092
230613,PS,Before,02,1,17933968.6906854,268869.553165275,23762375.528067,559374.706599857,1387373.91468381,473574.271046145,2148324.14269797,2520170.73272076,485003.273483572,5240088.42107102,4303717.06246804,471498.295276416,13315842.8104953,2912354.13693815,8219277.47434839,415971.97582388,4647755.67162604,603820.565481047,11250976.7582775,134992.437370547,2185849.13563715,7524891.42940207,2014671.31255106
230613,PS,Before,02,2,18129070.5936617,455941.3487958,33763488.1107378,576919.025552058,2078128.20324255,596356.759305023,3638816.61436433,3249139.17040676,829737.488102024,7482448.56626233,5606582.28524049,675547.4514953,18035009.1945472,3981466.31731529,13715403.6486868,566748.53970521,9535090.15508919,607684.124035865,16923577.6491466,148485.906243607,4009394.50028818,10482516.010967,3461890.4434425
230613,PS,Before,02,3,10265594.7607426,202045.752945157,49724041.507436,531548.122931805,1200222.20168624,471069.627087933,1538044.20422503,2560682.659325,416032.08513659,4090124.12770933,3238570.22660924,380523.050821825,11230843.9124653,2291927.4563008,6155093.35528863,430707.63451909,6429780.2813218,564842.8202694,7894570.91148924,98220.1561940229,1668540.77715866,7987491.09582304,1473177.97558483
230613,PS,Before,03,1,11202801.5703818,201873.024613846,30699884.9864977,487114.053814476,1295932.32287928,309951.450029562,1414502.45430561,1366289.64086456,342550.889994146,3982839.44966947,3712264.78252511,429154.800893558,11145604.7550099,2352256.59674932,6296700.94742983,273391.63402017,2879444.14773691,482265.19362701,6782017.79124816,82480.5374255788,1553610.33955906,7491064.28509786,1339378.12329563
230613,PS,Before,03,2,6216260.08030451,148682.021360015,37824369.3315425,457561.289656742,728597.64809019,283456.676064083,1005816.03195707,1049331.3073985,259522.527240965,2407108.55649301,2460457.48000093,268252.095634121,8181396.71855428,1248835.77573375,4822107.54541317,218494.445886508,5032462.54170078,410246.06215118,4652547.9148762,67406.7468657838,1140928.12893086,5537288.64357879,988020.441246406
230613,PS,Before,03,3,14079985.7982506,245222.025160822,185037891.343551,446329.648715888,1936327.23276116,789855.701376482,1835982.12656113,3244200.93656806,439836.439380631,5498119.13883549,6183614.14288651,718050.147585689,22052163.8102259,3466982.90854364,7498676.74644577,616277.317521035,13986011.1063438,463174.065376405,7827876.35744448,84224.0638337006,1968824.72129284,19798080.3221112,1754866.76605263
230613,PVC,After,01,1,839159.362141368,156693.043857608,4214229.75650086,141658.686014561,157921.056261419,91303.8911251771,293897.432886448,737065.885929735,22414.6731085431,421480.29887936,801361.000040558,74345.8676225381,2390175.58510535,1598840.79842728,523572.369111261,14353.0529716152,3520295.8744639,157265.250993914,609904.031463157,15038.7831789159,262695.933664665,889189.391924093,264933.776941015
